ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code,class
KMFD,medium_airport,Mansfield Lahm Regional Airport,40.82139969,-82.51660156,US,Ohio,OH,Mansfield,MFD,Civillian
KSFF,medium_airport,Felts Field,47.68280029,-117.322998,US,Washington,WA,Spokane,SFF,Civillian
PAMR,medium_airport,Merrill Field,61.21350098,-149.8439941,US,Alaska,AK,Anchorage,MRI,Civillian
KPNC,medium_airport,Ponca City Regional Airport,36.73199844,-97.09980011,US,Oklahoma,OK,Ponca City,PNC,Civillian
KTPH,medium_airport,Tonopah Airport,38.06019974,-117.086998,US,Nevada,NV,Tonopah,TPH,Civillian
KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,US,Georgia,GA,Albany,ABY,Civillian
KJLN,medium_airport,Joplin Regional Airport,37.151798,-94.498299,US,Missouri,MO,Joplin,JLN,Civillian
KLCH,medium_airport,Lake Charles Regional Airport,30.12610054,-93.22329712,US,Louisiana,LA,Lake Charles,LCH,Civillian
KLAR,medium_airport,Laramie Regional Airport,41.31209946,-105.6750031,US,Wyoming,WY,Laramie,LAR,Civillian
KSTC,medium_airport,Saint Cloud Regional Airport,45.5466,-94.059898,US,Minnesota,MN,Saint Cloud,STC,Civillian
KTXK,medium_airport,Texarkana Regional Webb Field,33.45370102,-93.99099731,US,Arkansas,AR,Texarkana,TXK,Civillian
KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,US,Colorado,CO,Alamosa,ALS,Civillian
KLAF,medium_airport,Purdue University Airport,40.4123,-86.936897,US,Indiana,IN,West Lafayette,LAF,Civillian
KHGR,medium_airport,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,US,Maryland,MD,Hagerstown,HGR,Civillian
KCVO,medium_airport,Corvallis Municipal Airport,44.49720001,-123.2900009,US,Oregon,OR,Corvallis,CVO,Civillian
KBFM,medium_airport,Mobile Downtown Airport,30.62680054,-88.06809998,US,Alabama,AL,Mobile,BFM,Civillian
KMCW,medium_airport,Mason City Municipal Airport,43.157799,-93.331299,US,Iowa,IA,Clear Lake,MCW,Civillian
KLWB,medium_airport,Greenbrier Valley Airport,37.85829926,-80.39949799,US,West Virginia,WV,Lewisburg,LWB,Civillian
KLFK,medium_airport,Angelina County Airport,31.23399925,-94.75,US,Texas,TX,Lufkin,LFK,Civillian
KABR,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,US,South Dakota,SD,Aberdeen,ABR,Civillian
KHTS,medium_airport,Tri-State/Milton J. Ferguson Field,38.366699,-82.557999,US,West Virginia,WV,Huntington,HTS,Civillian
KEWN,medium_airport,Coastal Carolina Regional Airport,35.07300186,-77.04290009,US,North Carolina,NC,New Bern,EWN,Civillian
KART,medium_airport,Watertown International Airport,43.9919014,-76.021698,US,New York,NY,Watertown,ART,Civillian
KMTN,medium_airport,Martin State Airport,39.325699,-76.413803,US,Maryland,MD,Baltimore,MTN,Civillian
KSUN,medium_airport,Friedman Memorial Airport,43.50439835,-114.2959976,US,Idaho,ID,Hailey,SUN,Civillian
KMKG,medium_airport,Muskegon County Airport,43.169498,-86.238197,US,Michigan,MI,Muskegon,MKG,Civillian
KSCH,medium_airport,Schenectady County Airport,42.85250092,-73.92890167,US,New York,NY,Schenectady,SCH,Civillian
KMQY,medium_airport,Smyrna Airport,36.00899887,-86.52010345,US,Tennessee,TN,Smyrna,MQY,Civillian
KSGH,medium_airport,Springfield-Beckley Municipal Airport,39.84030151,-83.84020233,US,Ohio,OH,Springfield,SGH,Civillian
KDRT,medium_airport,Del Rio International Airport,29.37420082,-100.927002,US,Texas,TX,Del Rio,DRT,Civillian
KDMN,medium_airport,Deming Municipal Airport,32.26229858,-107.7210007,US,New Mexico,NM,Deming,DMN,Civillian
KGLD,medium_airport,Renner Field-Goodland Municipal Airport,39.37060165,-101.6989975,US,Kansas,KS,Goodland,GLD,Civillian
KOLS,medium_airport,Nogales International Airport,31.4177,-110.848,US,Arizona,AZ,Nogales,OLS,Civillian
KPRX,medium_airport,Cox Field,33.63660049,-95.45079803,US,Texas,TX,Paris,PRX,Civillian
KTTD,medium_airport,Portland Troutdale Airport,45.54940033,-122.401001,US,Oregon,OR,Portland,TTD,Civillian
KU42,medium_airport,South Valley International Airport,40.619499,-111.992996,US,Utah,UT,Salt Lake City,U42,Civillian
KVEL,medium_airport,Vernal Regional Airport,40.4408989,-109.5100021,US,Utah,UT,Vernal,VEL,Civillian
KCGI,medium_airport,Cape Girardeau Regional Airport,37.2253,-89.570801,US,Missouri,MO,Cape Girardeau,CGI,Civillian
KDUJ,medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,US,Pennsylvania,PA,Dubois,DUJ,Civillian
KIRK,medium_airport,Kirksville Regional Airport,40.09349823,-92.54489899,US,Missouri,MO,Kirksville,IRK,Civillian
KMSL,medium_airport,Northwest Alabama Regional Airport,34.74530029,-87.61019897,US,Alabama,AL,Muscle Shoals,MSL,Civillian
KPBG,medium_airport,Plattsburgh International Airport,44.65090179,-73.4681015,US,New York,NY,Plattsburgh,PBG,Civillian
KSHR,medium_airport,Sheridan County Airport,44.76919937,-106.9800034,US,Wyoming,WY,Sheridan,SHR,Civillian
KTUP,medium_airport,Tupelo Regional Airport,34.26810074,-88.76989746,US,Mississippi,MS,Tupelo,TUP,Civillian
KYKM,medium_airport,Yakima Air Terminal McAllister Field,46.56819916,-120.5439987,US,Washington,WA,Yakima,YKM,Civillian
KGCC,medium_airport,Northeast Wyoming Regional Airport,44.3489,-105.539001,US,Wyoming,WY,Gillette,GCC,Civillian
KBMG,medium_airport,Monroe County Airport,39.14599991,-86.61669922,US,Indiana,IN,Bloomington,BMG,Civillian
KHUF,medium_airport,"Terre Haute Regional Airport, Hulman Field",39.4515,-87.307602,US,Indiana,IN,Terre Haute,HUF,Civillian
KLOZ,medium_airport,London-Corbin Airport/Magee Field,37.0821991,-84.0848999,US,Kentucky,KY,London,LOZ,Civillian
KSLE,medium_airport,Salem Municipal Airport/McNary Field,44.90950012,-123.0029984,US,Oregon,OR,Salem,SLE,Civillian
KGUP,medium_airport,Gallup Municipal Airport,35.51110077,-108.7890015,US,New Mexico,NM,Gallup,GUP,Civillian
KCEW,medium_airport,Bob Sikes Airport,30.77879906,-86.52210236,US,Florida,FL,Crestview,CEW,Civillian
KMYV,medium_airport,Yuba County Airport,39.09780121,-121.5699997,US,California,CA,Marysville,MYV,Civillian
KVPZ,medium_airport,Porter County Municipal Airport,41.45399857,-87.00710297,US,Indiana,IN,Valparaiso,VPZ,Civillian
KAND,medium_airport,Anderson Regional Airport,34.49459839,-82.70939636,US,South Carolina,SC,Anderson,AND,Civillian
KBIH,medium_airport,Eastern Sierra Regional Airport,37.37310028,-118.3639984,US,California,CA,Bishop,BIH,Civillian
KCOD,medium_airport,Yellowstone Regional Airport,44.52019882,-109.0240021,US,Wyoming,WY,Cody,COD,Civillian
KHYS,medium_airport,Hays Regional Airport,38.84220123,-99.27320099,US,Kansas,KS,Hays,HYS,Civillian
KHOB,medium_airport,Lea County Regional Airport,32.6875,-103.2170029,US,New Mexico,NM,Hobbs,HOB,Civillian
KUTS,medium_airport,Huntsville Regional Airport,30.74690056,-95.58719635,US,Texas,TX,Huntsville,UTS,Civillian
KLGU,medium_airport,Logan-Cache Airport,41.79119873,-111.8519974,US,Utah,UT,Logan,LGU,Civillian
KRME,medium_airport,Griffiss International Airport,43.23379898,-75.40699768,US,New York,NY,Rome,RME,Civillian
KBTM,medium_airport,Bert Mooney Airport,45.95479965,-112.4970016,US,Montana,MT,Butte,BTM,Civillian
KCEC,medium_airport,Jack Mc Namara Field Airport,41.78020096,-124.2369995,US,California,CA,Crescent City,CEC,Civillian
KLBL,medium_airport,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,US,Kansas,KS,Liberal,LBL,Civillian
KMCN,medium_airport,Middle Georgia Regional Airport,32.69279861,-83.64920044,US,Georgia,GA,Macon,MCN,Civillian
KMSS,medium_airport,Massena International Airport Richards Field,44.936157,-74.844304,US,New York,NY,Massena,MSS,Civillian
KMGW,medium_airport,Morgantown Municipal Walter L. Bill Hart Field,39.64289856,-79.91629791,US,West Virginia,WV,Morgantown,MGW,Civillian
KPKB,medium_airport,Mid Ohio Valley Regional Airport,39.3451004,-81.43920135,US,West Virginia,WV,Parkersburg,PKB,Civillian
KVCT,medium_airport,Victoria Regional Airport,28.8526001,-96.91850281,US,Texas,TX,Victoria,VCT,Civillian
KLRU,medium_airport,Las Cruces International Airport,32.28939819,-106.9219971,US,New Mexico,NM,Las Cruces,LRU,Civillian
KHQM,medium_airport,Bowerman Airport,46.97119904,-123.9369965,US,Washington,WA,Hoquiam,HQM,Civillian
KJXN,medium_airport,Jackson County Reynolds Field,42.25979996,-84.45939636,US,Michigan,MI,Jackson,JXN,Civillian
KTPL,medium_airport,Draughon Miller Central Texas Regional Airport,31.15250015,-97.40779877,US,Texas,TX,Temple,TPL,Civillian
KAKR,medium_airport,Akron Executive Airport,41.037498,-81.466904,US,Ohio,OH,Akron,AKR,Civillian
KDLS,medium_airport,Columbia Gorge Regional Airport,45.620979,-121.170777,US,Oregon,OR,Dallesport / The Dalles,DLS,Civillian
KFST,medium_airport,Fort Stockton Pecos County Airport,30.91570091,-102.9160004,US,Texas,TX,Fort Stockton,FST,Civillian
KISO,medium_airport,Kinston Regional Jetport At Stallings Field,35.33140183,-77.6088028,US,North Carolina,NC,Kinston,ISO,Civillian
KLAA,medium_airport,Southeast Colorado Regional Airport,38.066126,-102.690169,US,Colorado,CO,Lamar,LAA,Civillian
KONP,medium_airport,Newport Municipal Airport,44.580399,-124.057999,US,Oregon,OR,Newport,ONP,Civillian
KRMG,medium_airport,Richard B Russell Airport,34.3506012,-85.15799713,US,Georgia,GA,Rome,RMG,Civillian
KDEC,medium_airport,Decatur Airport,39.83459854,-88.86569977,US,Illinois,IL,Decatur,DEC,Civillian
KMKL,medium_airport,McKellar-Sipes Regional Airport,35.599899,-88.915604,US,Tennessee,TN,Jackson,MKL,Civillian
KVLD,medium_airport,Valdosta Regional Airport,30.78249931,-83.27670288,US,Georgia,GA,Valdosta,VLD,Civillian
KEAR,medium_airport,Kearney Regional Airport,40.727001,-99.006798,US,Nebraska,NE,Kearney,EAR,Civillian
KMIV,medium_airport,Millville Municipal Airport,39.367802,-75.072197,US,New Jersey,NJ,Millville,MIV,Civillian
KRIV,medium_airport,March Air Reserve Base,33.880699,-117.259003,US,California,CA,Riverside,RIV,Civillian
KALN,medium_airport,St Louis Regional Airport,38.89030075,-90.04599762,US,Illinois,IL,Alton/St Louis,ALN,Civillian
KMLC,medium_airport,Mc Alester Regional Airport,34.882401,-95.783501,US,Oklahoma,OK,Mc Alester,MLC,Civillian
KNQA,medium_airport,Millington-Memphis Airport,35.356701,-89.8703,US,Tennessee,TN,Millington,NQA,Civillian
KKLS,medium_airport,Southwest Washington Regional Airport,46.11800003,-122.8980026,US,Washington,WA,Kelso,KLS,Civillian
KLAW,medium_airport,Lawton Fort Sill Regional Airport,34.56769943,-98.41660309,US,Oklahoma,OK,Lawton,LAW,Civillian
KMYL,medium_airport,McCall Municipal Airport,44.88970184,-116.1009979,US,Idaho,ID,McCall,MYL,Civillian
K67L,medium_airport,Mesquite International Airport,36.833105,-114.055928,US,Nevada,NV,Mesquite,67L,Civillian
PATK,medium_airport,Talkeetna Airport,62.32049942,-150.0939941,US,Alaska,AK,Talkeetna,TKA,Civillian
KEAT,medium_airport,Pangborn Memorial Airport,47.39889908,-120.2070007,US,Washington,WA,Wenatchee,EAT,Civillian
KHLG,medium_airport,Wheeling Ohio County Airport,40.17499924,-80.64630127,US,West Virginia,WV,Wheeling,HLG,Civillian
KWMC,medium_airport,Winnemucca Municipal Airport,40.89659882,-117.8059998,US,Nevada,NV,Winnemucca,WMC,Civillian
KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,US,Illinois,IL,Belleville,BLV,Civillian
KBRL,medium_airport,Southeast Iowa Regional Airport,40.78319931,-91.12550354,US,Iowa,IA,Burlington,BRL,Civillian
KGTR,medium_airport,Golden Triangle Regional Airport,33.45029831,-88.59140015,US,Mississippi,MS,Columbus/W Point/Starkville,GTR,Civillian
KHRO,medium_airport,Boone County Airport,36.26150131,-93.15470123,US,Arkansas,AR,Harrison,HRO,Civillian
KJBR,medium_airport,Jonesboro Municipal Airport,35.83169937,-90.64640045,US,Arkansas,AR,Jonesboro,JBR,Civillian
PHMK,medium_airport,Molokai Airport,21.152901,-157.095993,US,Hawaii,HI,Kaunakakai,MKK,Civillian
KOWB,medium_airport,Owensboro Daviess County Airport,37.74010086,-87.16680145,US,Kentucky,KY,Owensboro,OWB,Civillian
KUIN,medium_airport,Quincy Regional Baldwin Field,39.94269943,-91.19460297,US,Illinois,IL,Quincy,UIN,Civillian
KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,US,Nebraska,NE,Scottsbluff,BFF,Civillian
PASI,medium_airport,Sitka Rocky Gutierrez Airport,57.04710007,-135.3619995,US,Alaska,AK,Sitka,SIT,Civillian
KANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,US,Alabama,AL,Anniston,ANB,Civillian
KMRB,medium_airport,Eastern WV Regional Airport/Shepherd Field,39.40190125,-77.98459625,US,West Virginia,WV,Martinsburg,MRB,Civillian
KZZV,medium_airport,Zanesville Municipal Airport,39.94440079,-81.89209747,US,Ohio,OH,Zanesville,ZZV,Civillian
KDNL,medium_airport,Daniel Field,33.46649933,-82.03939819,US,Georgia,GA,Augusta,DNL,Civillian
KEKA,medium_airport,Murray Field,40.80339813,-124.112999,US,California,CA,Eureka,EKA,Civillian
KFME,medium_airport,Tipton Airport,39.08539963,-76.75939941,US,Maryland,MD,Fort Meade(Odenton),FME,Civillian
KPGV,medium_airport,Pitt Greenville Airport,35.6352005,-77.38529968,US,North Carolina,NC,Greenville,PGV,Civillian
KMWH,medium_airport,Grant County International Airport,47.20769882,-119.3199997,US,Washington,WA,Moses Lake,MWH,Civillian
KCKB,medium_airport,North Central West Virginia Airport,39.29660034,-80.22810364,US,West Virginia,WV,Clarksburg,CKB,Civillian
KGLH,medium_airport,Mid Delta Regional Airport,33.48289871,-90.98560333,US,Mississippi,MS,Greenville,GLH,Civillian
KJMS,medium_airport,Jamestown Regional Airport,46.92969894,-98.67819977,US,North Dakota,ND,Jamestown,JMS,Civillian
KMLS,medium_airport,Frank Wiley Field,46.4280014,-105.8860016,US,Montana,MT,Miles City,MLS,Civillian
KSLK,medium_airport,Adirondack Regional Airport,44.38691,-74.204629,US,New York,NY,Saranac Lake,SLK,Civillian
KBTL,medium_airport,Battle Creek Executive Airport at Kellogg Field,42.307301,-85.251503,US,Michigan,MI,Battle Creek,BTL,Civillian
KFYV,medium_airport,Drake Field,36.00510025,-94.17009735,US,Arkansas,AR,Fayetteville,FYV,Civillian
KBAK,medium_airport,Columbus Municipal Airport,39.262386,-85.895576,US,Indiana,IN,Columbus,BAK,Civillian
PAHO,medium_airport,Homer Airport,59.64559937,-151.477005,US,Alaska,AK,Homer,HOM,Civillian
KLBX,medium_airport,Texas Gulf Coast Regional Airport,29.108601,-95.462097,US,Texas,TX,Angleton,LBX,Civillian
KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,US,Minnesota,MN,Bemidji,BJI,Civillian
KEVW,medium_airport,Evanston-Uinta County Airport-Burns Field,41.27479935,-111.0350037,US,Wyoming,WY,Evanston,EVW,Civillian
KMCK,medium_airport,Mc Cook Ben Nelson Regional Airport,40.20629883,-100.5920029,US,Nebraska,NE,Mc Cook,MCK,Civillian
KOAJ,medium_airport,Albert J Ellis Airport,34.829201,-77.612099,US,North Carolina,NC,Richlands,OAJ,Civillian
KDDC,medium_airport,Dodge City Regional Airport,37.76340103,-99.96559906,US,Kansas,KS,Dodge City,DDC,Civillian
KINL,medium_airport,Falls International Airport,48.56620026,-93.40309906,US,Minnesota,MN,International Falls,INL,Civillian
KCEF,medium_airport,Westover ARB/Metropolitan Airport,42.19400024,-72.53479767,US,Massachusetts,MA,Springfield/Chicopee,CEF,Civillian
KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,US,Washington,WA,Walla Walla,ALW,Civillian
KOQU,medium_airport,Quonset State Airport,41.5970993,-71.41210175,US,Rhode Island,RI,North Kingstown,OQU,Civillian
KNHZ,medium_airport,Brunswick Executive Airport,43.89220047,-69.93859863,US,Maine,ME,Brunswick,BXM,Civillian
KDHT,medium_airport,Dalhart Municipal Airport,36.02259827,-102.5469971,US,Texas,TX,Dalhart,DHT,Civillian
KELY,medium_airport,Ely Airport Yelland Field,39.29970169,-114.8420029,US,Nevada,NV,Ely,ELY,Civillian
KFKL,medium_airport,Venango Regional Airport,41.37789917,-79.86039734,US,Pennsylvania,PA,Franklin,FKL,Civillian
KLVS,medium_airport,Las Vegas Municipal Airport,35.654202,-105.141998,US,New Mexico,NM,Las Vegas,LVS,Civillian
KOFK,medium_airport,Karl Stefan Memorial Airport,41.98550034,-97.43509674,US,Nebraska,NE,Norfolk,OFK,Civillian
KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,US,Michigan,MI,Alpena,APN,Civillian
KELD,medium_airport,South Arkansas Regional At Goodwin Field,33.22100067,-92.81330109,US,Arkansas,AR,El Dorado,ELD,Civillian
KCMX,medium_airport,Houghton County Memorial Airport,47.16839981,-88.4890976,US,Michigan,MI,Hancock,CMX,Civillian
KHIB,medium_airport,Range Regional Airport,47.3866,-92.838997,US,Minnesota,MN,Hibbing,HIB,Civillian
KPQI,medium_airport,Presque Isle International Airport,46.688999,-68.0448,US,Maine,ME,Presque Isle,PQI,Civillian
KAXN,medium_airport,Chandler Field,45.866299,-95.394699,US,Minnesota,MN,Alexandria,AXN,Civillian
KMDH,medium_airport,Southern Illinois Airport,37.77809906,-89.2519989,US,Illinois,IL,Carbondale/Murphysboro,MDH,Civillian
KCGF,medium_airport,Cuyahoga County Airport,41.56510162,-81.48639679,US,Ohio,OH,Cleveland,CGF,Civillian
PAAQ,medium_airport,"Warren ""Bud"" Woods Palmer Municipal Airport",61.594898,-149.08901,US,Alaska,AK,Palmer,PAQ,Civillian
KBYI,medium_airport,Burley Municipal Airport,42.54259872,-113.7720032,US,Idaho,ID,Burley,BYI,Civillian
KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.79740143,-102.802002,US,North Dakota,ND,Dickinson,DIK,Civillian
PHBK,medium_airport,Barking Sands Airport,22.0228,-159.785004,US,Hawaii,HI,Kekaha,BKH,Civillian
KBPK,medium_airport,Ozark Regional Airport,36.3689003,-92.47049713,US,Arkansas,AR,Mountain Home,BPK,Civillian
KAOO,medium_airport,Altoona Blair County Airport,40.296398,-78.32,US,Pennsylvania,PA,Altoona,AOO,Civillian
KBKW,medium_airport,Raleigh County Memorial Airport,37.78730011,-81.12419891,US,West Virginia,WV,Beckley,BKW,Civillian
KGGW,medium_airport,Wokal Field/Glasgow-Valley County Airport,48.212502,-106.614998,US,Montana,MT,Glasgow,GGW,Civillian
KHON,medium_airport,Huron Regional Airport,44.3852005,-98.22850037,US,South Dakota,SD,Huron,HON,Civillian
PHNY,medium_airport,Lanai Airport,20.785675,-156.951324,US,Hawaii,HI,Lanai City,LNY,Civillian
KDAN,medium_airport,Danville Regional Airport,36.572899,-79.336098,US,Virginia,VA,Danville,DAN,Civillian
KOTM,medium_airport,Ottumwa Regional Airport,41.106368,-92.449837,US,Iowa,IA,Ottumwa,OTM,Civillian
KRWI,medium_airport,Rocky Mount Wilson Regional Airport,35.85630035,-77.89189911,US,North Carolina,NC,Rocky Mount,RWI,Civillian
KHST,medium_airport,Homestead ARB Airport,25.48859978,-80.38359833,US,Florida,FL,Homestead,HST,Civillian
KNUQ,medium_airport,Moffett Federal Airfield,37.4161,-122.049004,US,California,CA,Mountain View,NUQ,Civillian
PHJR,medium_airport,Kalaeloa Airport,21.3074,-158.070009,US,Hawaii,HI,Kapolei,JRF,Civillian
PAEN,medium_airport,Kenai Municipal Airport,60.57310104,-151.2449951,US,Alaska,AK,Kenai,ENA,Civillian
KBVI,medium_airport,Beaver County Airport,40.77249908,-80.3914032,US,Pennsylvania,PA,Beaver Falls,BVI,Civillian
KHBG,medium_airport,Hattiesburg Bobby L Chain Municipal Airport,31.26479912,-89.25279999,US,Mississippi,MS,Hattiesburg,HBG,Civillian
KJCT,medium_airport,Kimble County Airport,30.51129913,-99.7634964,US,Texas,TX,Junction,JCT,Civillian
KLOL,medium_airport,Derby Field,40.06639862,-118.5650024,US,Nevada,NV,Lovelock,LOL,Civillian
KLBT,medium_airport,Lumberton Regional Airport,34.60990143,-79.05940247,US,North Carolina,NC,Lumberton,LBT,Civillian
KPBF,medium_airport,"Pine Bluff Regional Airport, Grider Field",34.1731,-91.9356,US,Arkansas,AR,Pine Bluff,PBF,Civillian
KRIL,medium_airport,Garfield County Regional Airport,39.526299,-107.726997,US,Colorado,CO,Rifle,RIL,Civillian
KRIW,medium_airport,Riverton Regional Airport,43.06420136,-108.4599991,US,Wyoming,WY,Riverton,RIW,Civillian
KTTS,medium_airport,NASA Shuttle Landing Facility Airport,28.615,-80.694504,US,Florida,FL,Titusville,TTS,Civillian
PAWS,medium_airport,Wasilla Airport,61.57170105,-149.5399933,US,Alaska,AK,Wasilla,IYS,Civillian
KBFD,medium_airport,Bradford Regional Airport,41.80310059,-78.64009857,US,Pennsylvania,PA,Bradford,BFD,Civillian
KFOD,medium_airport,Fort Dodge Regional Airport,42.55149841,-94.19259644,US,Iowa,IA,Fort Dodge,FOD,Civillian
PHHN,medium_airport,Hana Airport,20.795601,-156.014008,US,Hawaii,HI,Hana,HNM,Civillian
KLWT,medium_airport,Lewistown Municipal Airport,47.04930115,-109.4670029,US,Montana,MT,Lewistown,LWT,Civillian
KPIB,medium_airport,Hattiesburg Laurel Regional Airport,31.4671,-89.337097,US,Mississippi,MS,Moselle,PIB,Civillian
PAOM,medium_airport,Nome Airport,64.5121994,-165.4450073,US,Alaska,AK,Nome,OME,Civillian
KRHI,medium_airport,Rhinelander Oneida County Airport,45.63119888,-89.46749878,US,Wisconsin,WI,Rhinelander,RHI,Civillian
KCIU,medium_airport,Chippewa County International Airport,46.25080109,-84.47239685,US,Michigan,MI,Sault Ste Marie,CIU,Civillian
KAUG,medium_airport,Augusta State Airport,44.3205986,-69.79730225,US,Maine,ME,Augusta,AUG,Civillian
PAOR,medium_airport,Northway Airport,62.9612999,-141.9290009,US,Alaska,AK,Northway,ORT,Civillian
KMPV,medium_airport,Edward F Knapp State Airport,44.20349884,-72.56230164,US,Vermont,VT,Barre/Montpelier,MPV,Civillian
PABV,medium_airport,Birchwood Airport,61.41650009,-149.5070038,US,Alaska,AK,Birchwood,BCV,Civillian
KBNO,medium_airport,Burns Municipal Airport,43.59189987,-118.9550018,US,Oregon,OR,Burns,BNO,Civillian
KNJK,medium_airport,El Centro NAF Airport (Vraciu Field),32.829201,-115.671996,US,California,CA,El Centro,NJK,Civillian
KHYR,medium_airport,Sawyer County Airport,46.02519989,-91.44429779,US,Wisconsin,WI,Hayward,HYR,Civillian
KLVM,medium_airport,Mission Field,45.69940186,-110.447998,US,Montana,MT,Livingston,LVM,Civillian
KHRT,medium_airport,Hurlburt Field,30.42779922,-86.68930054,US,Florida,FL,Mary Esther,HRT,Civillian
KRWL,medium_airport,Rawlins Municipal Airport/Harvey Field,41.80559921,-107.1999969,US,Wyoming,WY,Rawlins,RWL,Civillian
KSNY,medium_airport,Sidney Municipal-Lloyd W Carr Field,41.10129929,-102.9850006,US,Nebraska,NE,Sidney,SNY,Civillian
KJST,medium_airport,John Murtha Johnstown Cambria County Airport,40.31610107,-78.83390045,US,Pennsylvania,PA,Johnstown,JST,Civillian
PHJH,medium_airport,Kapalua Airport,20.9629,-156.673004,US,Hawaii,HI,Lahaina,JHM,Civillian
KPMD,medium_airport,Palmdale Regional Airport / USAF Plant 42 Airport,34.629398,-118.084999,US,California,CA,Palmdale,PMD,Civillian
KGWO,medium_airport,Greenwood–Leflore Airport,33.49430084,-90.08470154,US,Mississippi,MS,Greenwood,GWO,Civillian
KYKN,medium_airport,Chan Gurney Municipal Airport,42.91669846,-97.3859024,US,South Dakota,SD,Yankton,YKN,Civillian
KEET,medium_airport,Shelby County Airport,33.17699814,-86.78279877,US,Alabama,AL,Alabaster,EET,Civillian
KSRR,medium_airport,Sierra Blanca Regional Airport,33.462799,-105.535004,US,New Mexico,NM,Alto,SRR,Civillian
KCDR,medium_airport,Chadron Municipal Airport,42.83760071,-103.0950012,US,Nebraska,NE,Chadron,CDR,Civillian
KCNU,medium_airport,Chanute Martin Johnson Airport,37.668173,-95.486727,US,Kansas,KS,Chanute,CNU,Civillian
KCUB,medium_airport,Jim Hamilton L.B. Owens Airport,33.97050095,-80.99520111,US,South Carolina,SC,Columbia,CUB,Civillian
KJHW,medium_airport,Chautauqua County-Jamestown Airport,42.15425,-79.254008,US,New York,NY,Jamestown,JHW,Civillian
KRNH,medium_airport,New Richmond Regional Airport,45.14830017,-92.5381012,US,Wisconsin,WI,New Richmond,RNH,Civillian
KUOX,medium_airport,University Oxford Airport,34.38430023,-89.53679657,US,Mississippi,MS,Oxford,UOX,Civillian
KSME,medium_airport,Lake Cumberland Regional Airport,37.05339813,-84.61589813,US,Kentucky,KY,Somerset,SME,Civillian
KINK,medium_airport,Winkler County Airport,31.77960014,-103.2009964,US,Texas,TX,Wink,INK,Civillian
KTBN,medium_airport,Waynesville-St. Robert Regional Forney field,37.74160004,-92.14070129,US,Missouri,MO,Fort Leonard Wood,TBN,Civillian
PAGS,medium_airport,Gustavus Airport,58.4253006,-135.7070007,US,Alaska,AK,Gustavus,GST,Civillian
PAOT,medium_airport,Ralph Wien Memorial Airport,66.88469696,-162.598999,US,Alaska,AK,Kotzebue,OTZ,Civillian
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,US,Alaska,AK,Utqiaġvik,BRW,Civillian
KWRL,medium_airport,Worland Municipal Airport,43.965698,-107.950996,US,Wyoming,WY,Worland,WRL,Civillian
KNKT,medium_airport,Cherry Point MCAS /Cunningham Field/,34.90090179,-76.88069916,US,North Carolina,NC,Cherry Point,NKT,Civillian
KALI,medium_airport,Alice International Airport,27.7409,-98.026901,US,Texas,TX,Alice,ALI,Civillian
KEKN,medium_airport,Elkins-Randolph County Regional Airport,38.889759,-79.857651,US,West Virginia,WV,Elkins,EKN,Civillian
KBKE,medium_airport,Baker City Municipal Airport,44.83729935,-117.8089981,US,Oregon,OR,Baker City,BKE,Civillian
KDUG,medium_airport,Bisbee Douglas International Airport,31.46899986,-109.6039963,US,Arizona,AZ,Douglas Bisbee,DUG,Civillian
KNFW,medium_airport,NAS Fort Worth JRB / Carswell Field,32.769199,-97.441498,US,Texas,TX,Fort Worth,NFW,Civillian
KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,US,Louisiana,LA,New Iberia,ARA,Civillian
KNGU,medium_airport,Norfolk Naval Station (Chambers Field),36.937599,-76.289299,US,Virginia,VA,Norfolk,NGU,Civillian
KPDT,medium_airport,Eastern Oregon Regional At Pendleton Airport,45.69509888,-118.8410034,US,Oregon,OR,Pendleton,PDT,Civillian
KRWF,medium_airport,Redwood Falls Municipal Airport,44.54719925,-95.08229828,US,Minnesota,MN,Redwood Falls,RWF,Civillian
KSDY,medium_airport,Sidney - Richland Regional Airport,47.706902,-104.193001,US,Montana,MT,Sidney,SDY,Civillian
PASX,medium_airport,Soldotna Airport,60.474935,-151.038471,US,Alaska,AK,Soldotna,SXQ,Civillian
